LFwheelSpeed_mps,LRwheelSpeed_mps,RFwheelSpeed_mps,RRwheelSpeed_mps,brakePressureFL_bar,brakePressureFR_bar,brakePressureRL_bar,brakePressureRR_bar,engineTorque_Nm,massEstimate_kg,pinionAngle_rad
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,6,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,5,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.8,24.8,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.8,24.8,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
0.03145193572368044,0.03145193572368044,0.03145193572368044,0.03145193572368044,24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,1856,1.069184609156292
