brakePressureFL_bar,brakePressureFR_bar,brakePressureRL_bar,brakePressureRR_bar,engineTorque_Nm,roadWheelAngle_rad
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,5,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.8,24.8,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.8,24.8,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,5,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
24.700000000000003,24.700000000000003,24.700000000000003,24.700000000000003,4,0.0011069741555989406
